,model,fuel,km_driven,resale_val
1196,2010,Petrol + CNG,"88,534","1,90,000"
1197,2013,Diesel,"1,09,971","4,40,000"
1198,2011,Petrol + CNG,"74,514","2,10,000"
1199,2016,Petrol,"1,04,324","4,00,000"
1200,2014,Diesel,"66,901","3,70,000"
1201,2012,Diesel,"1,09,608","3,20,000"
1202,2013,Diesel,"1,07,472","3,10,000"
1203,2010,Petrol,"77,164","2,00,000"
1204,2011,Diesel,"1,04,348","2,50,000"
1205,2013,Petrol,"72,590","3,20,000"
1206,2010,Petrol + CNG,"80,776","2,00,000"
1207,2016,Diesel,"79,094","6,50,000"
1208,2008,Petrol + CNG,"84,539","1,53,000"
1209,2012,Diesel,"1,28,267","2,70,000"
1210,2012,Diesel,"49,842","3,50,000"
1211,2016,Diesel,"35,993","5,00,000"
1212,2015,Diesel,"86,286","3,50,000"
1213,2012,Diesel,"92,636","4,00,000"
1214,2014,Diesel,"1,01,163","2,60,000"
1215,2014,Petrol,"51,756","3,50,000"
1216,2008,Petrol,"1,18,847","1,50,000"
1217,2008,Petrol,"64,250","1,50,000"
1218,2014,Petrol,"74,910","3,75,000"
1219,2010,Diesel,"1,33,378","2,00,000"
1220,2009,Petrol,"44,987","1,75,000"
1221,2012,Petrol + CNG,"45,408","3,50,000"
1222,2010,Diesel,"1,64,110","1,70,000"
1223,2010,Petrol + CNG,"1,26,421","1,50,000"
1224,2014,Diesel,"70,126","4,00,000"
1225,2016,Diesel,"1,25,093","4,50,000"
1226,2012,Diesel,"1,44,313","3,50,000"
1227,2013,Diesel,"85,965","3,10,000"
1228,2014,Diesel,"2,19,242","2,50,000"
1229,2008,Diesel,"1,16,707","2,25,000"
1230,2012,Petrol,"1,35,851","2,50,000"
1231,2013,Diesel,"47,667","3,30,000"
1232,2015,Diesel,"74,363","3,60,000"
1233,2013,Petrol,"40,360","3,00,000"
1234,2012,Diesel,"80,953","3,00,000"
1235,2014,Diesel,"55,232","3,30,000"
1236,2013,Diesel,"1,63,953","3,50,000"
1237,2013,Diesel,"44,359","3,70,000"
1238,2013,Diesel,"1,51,466","2,50,000"
1239,2011,Diesel,"1,02,549","2,10,000"
1240,2011,Diesel,"58,380","2,75,000"
1241,2008,Petrol,"1,54,060","1,10,000"
1242,2012,Diesel,"1,50,076","3,00,000"
1243,2012,Diesel,"58,894","3,50,000"
1244,2013,Diesel,"1,06,399","4,00,000"
1245,2010,Petrol,"63,979","1,50,000"
1246,2012,Diesel,"60,355","3,00,000"
1247,2014,Diesel,"1,22,102","3,80,000"
1248,2008,Petrol + CNG,"84,272","1,60,000"
1249,2012,Diesel,"1,04,177","3,20,000"
1250,2011,Diesel,"1,55,864","2,10,000"
1251,2013,Petrol,"1,01,343","3,30,000"
1252,2015,Diesel,"42,906","4,50,000"
1253,2012,Diesel,"78,745","3,15,000"
1254,2011,Petrol + CNG,"1,37,679","2,50,000"
1255,2011,Petrol,"1,10,038","2,25,000"
1256,2014,Petrol + CNG,"1,03,108","3,50,000"
1257,2012,Diesel,"87,762","3,00,000"
1258,2015,Diesel,"30,989","5,00,000"
1259,2014,Diesel,"1,04,223","3,80,000"
1260,2012,Petrol + CNG,"94,881","2,65,000"
1261,2013,Diesel,"83,622","3,80,000"
1262,2011,Diesel,"1,40,007","2,25,000"
1263,2014,Petrol,"51,497","3,75,000"
1264,2015,Diesel,"1,06,218","3,75,000"
1265,2013,Diesel,"1,85,881","3,30,000"
1266,2015,Diesel,"64,180","4,00,000"
1267,2012,Diesel,"65,767","3,40,000"
1268,2010,Diesel,"2,23,280","2,43,000"
1269,2014,Diesel,"65,672","3,00,000"
1270,2014,Diesel,"91,059","3,50,000"
1271,2019,Petrol + CNG,"15,543","6,00,000"
1272,2008,Petrol,"36,843","1,45,000"
1273,2011,Diesel,"81,912","2,00,000"
1274,2015,Diesel,"53,807","3,65,000"
1275,2010,Diesel,"60,874","2,00,000"
1276,2009,Petrol,"80,806","2,20,000"
1277,2013,Diesel,"81,841","3,50,000"
1278,2013,Diesel,"23,594","4,30,000"
1279,2015,Diesel,"52,493","5,00,000"
1280,2013,Diesel,"55,502","4,00,000"
1281,2014,Diesel,"57,283","3,75,000"
1282,2012,Petrol,"31,640","2,90,000"
1283,2010,Diesel,"23,498","2,60,000"
1284,2011,Diesel,"86,462","2,50,000"
1285,2009,Petrol + CNG,"1,03,421","1,80,000"
1286,2011,Diesel,"92,330","2,60,000"
1287,2010,Petrol,"36,336","3,00,000"
1288,2014,Petrol,"52,854","3,50,000"
1289,2011,Diesel,"1,05,355","2,50,000"
1290,2013,Diesel,"68,496","3,60,000"
1291,2014,Petrol,"69,553","3,15,000"
1292,2013,Diesel,"71,810","3,10,000"
1293,2012,Diesel,"1,09,136","3,00,000"
1294,2012,Diesel,"74,797","3,60,000"
1295,2010,Petrol,"1,74,761","1,50,000"
1296,2010,Diesel,"1,46,106","2,00,000"
1297,2010,Diesel,"1,18,502","2,00,000"
1298,2014,Diesel,"78,573","4,00,000"
1299,2009,Diesel,"74,112","2,70,000"
1300,2016,Diesel,"53,524","4,20,000"
1301,2011,Petrol + CNG,"51,697","2,20,000"
1302,2015,Diesel,"55,307","4,10,000"
1303,2009,Petrol,"1,19,362","1,75,000"
1304,2011,Diesel,"1,04,539","2,25,000"
1305,2015,Diesel,"71,966","4,00,000"
1306,2014,Diesel,"1,40,959","2,85,000"
1307,2014,Diesel,"53,625","4,10,000"
1308,2012,Diesel,"86,031","3,50,000"
1309,2016,Petrol,"53,369","4,50,000"
1310,2008,Petrol + CNG,"1,25,048","1,20,000"
1311,2016,Petrol + CNG,"48,910","4,50,000"
1312,2012,Diesel,"92,495","3,10,000"
1313,2013,Diesel,"1,26,611","3,00,000"
1314,2012,Petrol,"33,719","3,40,000"
1315,2012,Diesel,"98,354","2,80,000"
1316,2010,Diesel,"97,724","2,00,000"
1317,2009,Diesel,"2,21,224","1,70,000"
1318,2010,Diesel,"93,589","1,70,000"
1319,2015,Petrol + CNG,"67,373","4,80,000"
1320,2014,Petrol,"21,767","4,25,000"
1321,2014,Diesel,"1,34,006","4,50,000"
1322,2008,Petrol,"86,417","1,65,000"
1323,2014,Diesel,"37,619","3,40,000"
1324,2014,Diesel,"91,877","3,80,000"
1325,2012,Diesel,"1,30,055","2,60,000"
1326,2012,Petrol,"92,767","3,25,000"
1327,2013,Diesel,"33,482","3,80,000"
1328,2011,Diesel,"86,476","2,65,000"
1329,2010,Diesel,"1,95,064","2,00,000"
1330,2011,Diesel,"91,766","2,10,000"
1331,2013,Diesel,"52,772","3,50,000"
1332,2012,Diesel,"78,764","3,50,000"
1333,2013,Diesel,"2,00,000","2,30,000"
1334,2013,Diesel,"98,282","3,75,000"
1335,2013,Diesel,"1,02,354","3,00,000"
1336,2014,Diesel,"88,121","3,10,000"
1337,2012,Petrol,"1,32,558","2,60,000"
1338,2014,Diesel,"75,396","4,00,000"
1339,2008,Diesel,"1,65,707","1,25,000"
1340,2015,Diesel,"42,956","4,00,000"
1341,2014,Diesel,"35,362","4,00,000"
1342,2014,Diesel,"67,755","4,20,000"
1343,2008,Petrol + CNG,"1,39,176","1,40,000"
1344,2013,Diesel,"92,959","3,00,000"
1345,2014,Diesel,"52,034","4,50,000"
1346,2011,Diesel,"1,00,919","2,75,000"
1347,2015,Diesel,"89,261","5,00,000"
1348,2015,Diesel,"68,462","4,40,000"
1349,2015,Diesel,"57,198","3,25,000"
1350,2012,Diesel,"1,02,181","3,50,000"
1351,2012,Diesel,"68,326","3,50,000"
1352,2008,Petrol,"69,647","1,75,000"
1353,2013,Diesel,"1,56,020","2,95,000"
1354,2010,Diesel,"1,15,300","2,00,000"
1355,2011,Diesel,"73,378","2,25,000"
1356,2011,Diesel,"52,301","3,25,000"
1357,2012,Diesel,"41,228","3,60,000"
1358,2010,Diesel,"1,10,833","2,40,000"
1359,2014,Diesel,"55,941","4,75,000"
1360,2014,Petrol,"24,419","4,32,000"
1361,2014,Diesel,"76,854","3,40,000"
1362,2009,Diesel,"1,91,626","1,75,000"
1363,2011,Petrol,"27,000","3,50,000"
1364,2010,Petrol,"1,27,000","1,00,000"
1365,2010,Diesel,"1,73,163","1,45,000"
1366,2013,Diesel,"64,360","2,30,000"
1367,2014,Diesel,"87,274","3,25,000"
1368,2014,Diesel,"80,461","3,70,000"
1369,2012,Diesel,"87,281","2,70,000"
1370,2011,Petrol,"38,533","2,50,000"
1371,2010,Diesel,"1,08,241","1,50,000"
1372,2012,Diesel,"1,58,064","3,25,000"
1373,2010,Petrol + CNG,"87,149","1,80,000"
1374,2011,Diesel,"85,531","2,20,000"
1375,2009,Diesel,"2,91,119","1,35,000"
1376,2011,Diesel,"1,05,948","1,70,000"
1377,2009,Petrol + CNG,"92,353","1,50,000"
1378,2011,Diesel,"1,57,578","1,40,000"
1379,2009,Diesel,"1,72,650","1,30,000"
1380,2012,Diesel,"1,01,906","2,70,000"
1381,2012,Petrol,"11,309","2,70,000"
1382,2010,Petrol,"43,469","1,85,000"
1383,2008,Diesel,"1,46,649","1,10,000"
1384,2011,Diesel,"93,245","1,90,000"
1385,2012,Diesel,"85,723","1,90,000"
1386,2010,Petrol,"92,164","2,50,000"
