,model,fuel,km_driven,resale_val
257,2012,Diesel,"79,364","2,20,000"
258,2016,Petrol + CNG,"74,342","4,00,000"
259,2013,Diesel,"88,903","2,70,000"
260,2010,Petrol,"65,480","2,20,000"
261,2012,Petrol,"1,29,578","2,40,000"
262,2010,Petrol,"1,18,449","3,00,000"
263,2014,Diesel,"72,288","3,50,000"
264,2013,Diesel,"1,05,000","3,10,000"
265,2013,Diesel,"88,128","3,65,000"
266,2012,Diesel,"55,281","3,10,000"
267,2016,Petrol,"8,706","4,50,000"
268,2014,Diesel,"83,701","3,58,182"
269,2011,Petrol,"31,548","3,10,000"
270,2010,Petrol + CNG,"1,27,561","1,70,000"
271,2016,Diesel,"52,591","5,08,919"
272,2014,Diesel,"1,18,419","3,50,000"
273,2010,Petrol,"47,050","2,35,000"
274,2014,Diesel,"1,03,060","3,20,000"
275,2014,Diesel,"33,350","4,82,000"
276,2013,Petrol,"77,000","3,50,000"
277,2012,Diesel,"86,426","2,40,000"
278,2012,Diesel,"1,26,041","3,16,000"
279,2012,Diesel,"1,18,256","2,05,891"
280,2011,Diesel,"1,25,964","1,60,500"
281,2014,Diesel,"2,21,849","2,48,000"
282,2010,Diesel,"2,35,343","1,00,000"
283,2012,Petrol + CNG,"54,894","2,65,000"
284,2008,Petrol,"1,44,644","1,26,000"
285,2008,Diesel,"2,50,789","1,22,000"
286,2011,Diesel,"72,325","2,30,000"
287,2012,Petrol + CNG,"89,086","2,06,250"
288,2015,Diesel,"1,39,925","3,65,000"
289,2011,Diesel,"79,396","1,71,000"
290,2011,Diesel,"67,948","1,80,000"
291,2015,Diesel,"1,66,816","3,52,000"
292,2015,Diesel,"1,42,000","4,60,000"
293,2013,Diesel,"1,10,000","4,25,000"
294,2008,Petrol,"1,02,968","1,00,000"
295,2013,Petrol + CNG,"1,12,644","2,91,000"
296,2013,Diesel,"78,000","2,20,000"
297,2011,Diesel,"1,88,361","2,26,000"
298,2011,Diesel,"77,743","2,00,000"
299,2014,Petrol,"53,203","4,00,000"
300,2019,Petrol,"4,000","7,25,000"
301,2015,Petrol + CNG,"74,035","4,10,000"
302,2013,Diesel,"79,604","3,63,000"
303,2012,Petrol + CNG,"90,654","2,00,000"
304,2013,Diesel,"67,230","3,10,000"
305,2019,CNG,"24,111","6,70,000"
306,2012,Diesel,"63,631","3,10,000"
307,2014,Diesel,"53,590","3,79,800"
308,2011,Petrol,"31,000","2,85,000"
309,2012,Diesel,"1,88,814","2,30,000"
310,2015,Petrol + CNG,"58,352","3,01,000"
311,2014,Petrol,"59,062","3,25,000"
312,2015,Diesel,"60,812","4,54,000"
313,2012,Diesel,"75,854","3,81,000"
314,2012,Petrol,"18,432","3,91,000"
315,2013,Diesel,"1,26,354","3,70,000"
316,2011,Diesel,"1,46,477","1,86,000"
317,2013,Petrol + CNG,"1,02,204","3,53,000"
318,2012,Diesel,"74,058","3,83,000"
319,2015,Diesel,"1,61,207","3,42,000"
320,2015,Petrol + CNG,"99,776","2,64,000"
321,2014,Diesel,"77,786","3,55,000"
322,2010,Petrol,"63,933","1,50,000"
323,2015,Diesel,"86,139","2,80,000"
324,2011,Diesel,"81,897","2,10,000"
325,2015,Diesel,"7,10,000","4,00,000"
326,2014,Diesel,"89,759","2,50,000"
327,2013,Diesel,"1,19,769","3,25,000"
328,2013,Diesel,"51,706","3,00,000"
329,2015,Diesel,"79,949","5,49,000"
330,2011,Petrol,"1,00,000","2,10,000"
331,2013,Diesel,"6,251","2,37,000"
332,2013,Petrol,"1,06,217","3,01,000"
333,2013,Petrol,"60,210","3,69,808"
334,2011,Diesel,"1,11,492","1,80,000"
335,2012,Diesel,"83,649","2,50,000"
336,2013,Diesel,"66,163","3,02,000"
337,2009,Diesel,"87,501","2,00,000"
338,2010,Petrol,"1,40,349","1,80,000"
339,2014,Diesel,"81,825","2,87,000"
340,2012,Diesel,"72,158","2,90,000"
341,2015,Diesel,"2,06,578","3,00,000"
342,2011,Diesel,"1,64,076","2,25,000"
343,2014,Petrol,"1,95,000","1,60,000"
344,2014,Diesel,"1,15,239","3,50,000"
345,2016,Petrol,"34,573","6,50,000"
346,2015,Diesel,"40,992","3,50,000"
347,2016,Petrol,"58,131","4,11,000"
348,2015,Petrol,"11,105","2,80,000"
349,2016,Diesel,"57,855","4,60,000"
350,2010,Petrol + CNG,"1,01,980","1,50,000"
351,2013,Diesel,"62,036","4,00,000"
352,2010,Diesel,"2,15,405","1,35,000"
353,2019,Petrol,"5,200","7,08,000"
354,2011,Diesel,"1,13,453","2,00,000"
355,2015,Diesel,"1,01,049","3,80,000"
356,2013,Diesel,"70,000","3,90,000"
357,2015,Petrol + CNG,"92,428","3,50,000"
358,2011,Diesel,"77,477","1,70,000"
359,2011,Diesel,"1,04,894","2,20,000"
360,2012,Diesel,"65,491","2,40,000"
361,2011,Diesel,"1,27,580","1,65,000"
362,2014,Diesel,"1,03,298","3,60,000"
363,2013,Diesel,"1,17,000","3,05,000"
364,2014,Diesel,"38,758","3,70,000"
365,2010,Petrol,"11,074","3,56,000"
366,2013,Diesel,"1,08,386","3,01,000"
367,2013,Diesel,"64,472","3,80,000"
368,2013,Diesel,"66,645","2,99,000"
369,2014,Diesel,"62,000","3,00,000"
370,2017,Petrol,"1,75,000","3,50,000"
371,2014,Diesel,"1,38,451","3,50,576"
372,2011,Diesel,"1,18,350","1,89,000"
373,2012,Diesel,"71,395","3,00,000"
374,2012,Diesel,"57,462","2,91,000"
375,2008,Petrol,"85,890","1,40,000"
376,2014,Diesel,"70,177","3,90,000"
377,2012,Petrol + CNG,"1,43,197","2,00,000"
378,2012,Diesel,"78,000","3,50,000"
379,2011,Diesel,"1,58,806","3,01,000"
380,2015,Petrol + CNG,"35,154","4,00,000"
381,2015,Diesel,"65,014","3,50,000"
382,2015,Diesel,"43,382","3,40,000"
383,2012,Petrol,"44,317","3,97,000"
384,2012,Diesel,"81,794","3,65,000"
385,2013,Diesel,"1,01,244","2,95,418"
386,2010,Petrol + CNG,"1,16,543","1,50,000"
387,2013,Diesel,"86,248","2,70,000"
388,2013,Petrol + CNG,"1,11,046","3,50,000"
389,2009,Petrol + CNG,"1,11,460","1,45,709"
390,2010,Diesel,"66,781","1,90,000"
391,2013,Diesel,"1,20,000","3,25,000"
392,2011,Diesel,"42,598","2,10,000"
393,2013,Diesel,"51,564","2,90,000"
394,2013,Diesel,"1,39,382","3,50,000"
395,2015,Petrol,"43,100","3,75,000"
396,2012,Diesel,"54,000","3,00,000"
397,2015,Diesel,"75,236","3,75,000"
398,2010,Diesel,"49,553","1,30,000"
399,2011,Petrol,"76,588","1,50,000"
400,2010,Petrol,"1,35,188","1,50,000"
401,2014,Diesel,"1,48,944","2,15,000"
402,2019,Petrol + CNG,"6,462","6,00,000"
403,2008,Petrol + CNG,"1,16,204","1,30,000"
404,2010,Petrol + CNG,"80,983","2,20,000"
405,2015,Diesel,"2,83,406","3,25,000"
406,2012,Petrol + CNG,"1,37,226","2,90,000"
407,2013,Diesel,"85,894","2,95,000"
408,2013,Diesel,"1,25,000","3,35,000"
409,2014,Diesel,"1,12,174","3,08,924"
410,2009,Petrol + CNG,"1,56,450","1,40,000"
411,2013,Diesel,"71,263","4,00,000"
412,2013,Diesel,"1,05,799","3,00,000"
413,2009,Petrol,"53,834","1,75,000"
414,2015,Petrol,"26,932","4,60,000"
415,2011,Petrol,"1,21,782","2,00,000"
416,2015,Petrol,"1,01,000","3,00,000"
417,2010,Diesel,"1,56,703","1,80,001"
418,2013,Petrol,"58,357","3,50,000"
419,2009,Petrol + CNG,"2,30,083","1,90,000"
420,2010,Diesel,"84,728","1,90,000"
421,2015,Diesel,"75,089","3,00,000"
422,2014,Diesel,"83,492","3,90,000"
423,2011,Diesel,"1,52,408","2,10,000"
424,2013,Diesel,"36,958","2,80,000"
425,2013,Diesel,"96,207","2,20,000"
426,2014,Diesel,"60,201","3,57,000"
427,2015,Petrol,"47,684","4,50,000"
428,2015,Diesel,"86,546","4,41,048"
429,2015,Diesel,"66,132","5,08,000"
430,2012,Petrol,"67,284","3,00,000"
431,2013,Diesel,"42,371","3,60,000"
432,2013,Diesel,"82,680","2,80,000"
433,2012,Petrol,"1,38,513","3,10,799"
434,2015,Diesel,"82,682","2,55,000"
435,2013,Diesel,"93,858","2,75,000"
436,2014,Diesel,"47,400","3,20,000"
437,2011,Diesel,"2,42,255","1,40,000"
438,2014,Diesel,"50,223","2,90,000"
439,2014,Petrol,"25,660","4,50,000"
440,2014,Diesel,"60,007","3,50,000"
441,2013,Diesel,"1,21,962","3,10,000"
442,2014,Petrol + CNG,"43,591","4,40,000"
443,2010,Petrol + CNG,"1,01,509","2,20,000"
444,2009,Petrol + CNG,"1,39,839","1,62,000"
445,2014,Petrol,"45,633","4,00,000"
446,2013,Diesel,"95,953","2,60,000"
447,2008,Petrol + CNG,"1,26,232","2,14,366"
448,2013,Diesel,"70,211","3,20,000"
449,2011,Diesel,"80,811","2,00,000"
450,2008,Petrol + CNG,"1,02,386","1,86,000"
451,2014,Diesel,"1,03,064","4,00,000"
452,2016,Diesel,"82,377","5,50,000"
453,2015,Diesel,"69,701","4,06,000"
454,2015,Petrol,"70,633","3,60,000"
455,2010,Petrol + CNG,"60,889","2,10,000"
456,2014,Diesel,"1,95,555","3,50,000"
457,2013,Diesel,"74,697","3,08,000"
458,2014,Petrol,"96,604","4,09,000"
459,2010,Diesel,"77,915","1,48,000"
460,2012,Diesel,"50,293","3,48,000"
461,2014,Diesel,"1,14,051","4,18,000"
462,2009,Petrol + CNG,"1,31,853","1,52,000"
463,2015,Diesel,"71,542","4,00,000"
464,2016,Diesel,"46,214","5,40,000"
465,2012,Petrol,"42,345","2,70,000"
466,2013,Diesel,"70,000","2,50,000"
467,2009,Petrol,"66,984","1,50,000"
468,2013,Petrol + CNG,"56,292","2,70,000"
469,2013,Diesel,"17,429","4,75,000"
470,2010,Diesel,"90,163","1,60,000"
471,2011,Petrol,"63,156","2,70,000"
472,2012,Petrol,"50,751","3,01,000"
473,2013,Diesel,"77,026","3,50,000"
474,2010,Diesel,"93,602","1,20,000"
475,2015,Petrol,"78,256","5,10,000"
476,2012,Petrol,"81,149","1,75,000"
477,2013,Diesel,"61,693","2,90,000"
478,2008,Petrol + CNG,"90,153","1,20,000"
479,2014,Diesel,"75,098","3,00,000"
480,2013,Petrol,"78,068","3,25,000"
481,2014,Diesel,"10,000","3,50,000"
482,2015,Diesel,"55,068","4,25,000"
483,2013,Petrol,"25,591","2,76,000"
484,2009,Petrol,"68,398","2,00,000"
485,2011,Petrol,"31,568","3,00,000"
486,2017,Diesel,"52,741","5,40,000"
487,2013,Diesel,"81,860","2,75,000"
488,2013,Diesel,"1,12,162","4,00,000"
489,2009,Petrol + CNG,"1,41,933","1,50,000"
490,2014,Diesel,"65,202","5,00,000"
491,2013,Diesel,"47,221","2,75,000"
492,2015,Diesel,"88,008","3,70,000"
493,2011,Diesel,"86,604","2,20,000"
494,2012,Diesel,"96,364","3,42,048"
495,2014,Diesel,"79,611","3,79,800"
496,2014,Diesel,"48,483","2,80,000"
497,2016,Petrol,"19,931","5,63,000"
498,2014,Diesel,"74,863","4,10,000"
499,2013,Petrol + CNG,"1,18,630","2,70,000"
500,2014,Diesel,"83,116","3,00,000"
501,2014,Petrol,"74,810","4,82,000"
502,2008,Petrol + CNG,"1,48,671","1,40,000"
503,2011,Petrol,"39,890","2,50,000"
504,2010,Diesel,"1,20,214","1,80,000"
505,2012,Diesel,"71,082","1,30,000"
506,2009,Petrol,"1,08,827","1,30,000"
507,2014,Diesel,"2,01,288","2,80,000"
508,2016,Petrol,"1,20,000","3,50,000"
509,2013,Petrol,"32,112","3,50,000"
510,2010,Petrol,"87,812","1,82,000"
511,2014,Petrol + CNG,"88,932","3,88,000"
512,2012,Diesel,"1,55,810","3,25,000"
513,2014,Diesel,"1,06,729","3,65,000"
514,2012,Diesel,"19,588","5,00,000"
515,2015,Diesel,"1,18,927","4,61,000"
516,2014,Diesel,"72,979","5,73,000"
517,2017,Diesel,"68,912","4,80,000"
518,2014,Diesel,"99,120","3,91,000"
519,2013,Diesel,"1,36,520","3,19,000"
520,2014,Diesel,"30,038","4,07,000"
521,2009,Petrol + CNG,"35,270","1,70,000"
522,2012,Diesel,"48,347","2,49,000"
523,2012,Diesel,"1,52,803","2,30,000"
524,2008,Petrol + CNG,"87,477","1,60,000"
525,2009,Petrol,"1,65,306","1,50,000"
526,2016,Diesel,"30,733","4,80,000"
527,2015,Diesel,"77,152","2,80,000"
528,2013,Petrol,"17,534","4,10,000"
529,2013,Diesel,"74,082","3,26,000"
530,2013,Diesel,"67,343","3,05,000"
531,2014,Diesel,"56,986","2,95,000"
532,2009,Diesel,"1,48,620","1,25,000"
533,2014,Petrol,"31,664","4,00,000"
534,2015,Diesel,"55,938","3,95,000"
535,2015,Diesel,"72,572","3,25,000"
536,2014,Diesel,"61,547","5,00,000"
537,2013,Petrol,"23,011","3,50,000"
538,2012,Diesel,"1,40,464","3,40,000"
539,2013,Petrol,"66,169","3,00,000"
540,2014,Diesel,"1,32,807","2,80,000"
541,2015,Petrol,"30,879","4,50,000"
542,2011,Petrol,"1,42,406","1,40,000"
543,2011,Petrol + CNG,"92,435","1,65,000"
544,2013,Petrol,"45,994","3,40,000"
545,2012,Diesel,"1,43,083","3,21,000"
546,2013,Petrol,"90,033","3,05,000"
547,2011,Petrol,"49,520","2,05,000"
548,2011,Diesel,"1,01,253","2,25,000"
549,2013,Diesel,"1,82,147","2,75,000"
550,2014,Diesel,"90,000","4,00,000"
551,2014,Diesel,"1,14,129","3,25,000"
552,2014,Diesel,"1,14,639","3,10,000"
553,2016,Petrol,"18,239","5,05,000"
554,2008,Petrol,"72,072","1,50,000"
